General Ledger
Business Name: AB Civil Consulting LLC
Tax Filing Name: AB CIVIL CONSULTING LLC
Accounting Basis: Modified Cash
Date Range: 1/1/2025 to 1/31/2026
Report Date: 1/19/2026

Account: Legends Bank Checking 7131,Your balance in Patriot: $16220.81
Date,Type,Description,Amount,Balance
2/7/2025,Customer Invoice Payment,Payment for Wenzel Contractors Inc. (Wenzel Contracting) (Invoice #1139),$1675.00,$21527.20
2/7/2025,Customer Invoice Payment,Payment for H.O. Weaver and Sons inc. (Invoice #1140),$1690.00,$23217.20
2/7/2025,Customer Invoice Payment,Payment for JB Coxwell Contracting Inc. (Invoice #1141),$5880.00,$29097.20
2/7/2025,Customer Invoice Payment,Payment for Central Florida Site Pros Inc (Invoice #1142),$1580.00,$30677.20
2/7/2025,Customer Invoice Payment,Payment for Central Florida Site Pros Inc (Invoice #1143),$390.00,$31067.20
2/7/2025,Journal Entry,Overpayment on Invoice,$1690.00,$32757.20
2/7/2025,Journal Entry,Transfer money from NC to Legends,$680.00,$33437.20
2/7/2025,Journal Entry,Transfer money from NC to Legends,$1097.00,$34534.20
2/10/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 8652185,-$7000.00,$27534.20
2/11/2025,Imported Transaction,Legends Bank - Personal INTUIT 57513163 TRAN FEE,-$7.80,$27526.40
2/11/2025,Imported Transaction,Legends Bank - Personal Verizon Wireless,-$180.61,$27345.79
2/11/2025,Customer Invoice Payment,Payment #3240 for KW Excavation Inc. (Invoice #1110),$1250.00,$28595.79
2/11/2025,Customer Invoice Payment,Payment #2235 for Knust Excavating (Invoice #1123),$875.00,$29470.79
2/11/2025,Customer Invoice Payment,Payment #2235 for Knust Excavating (Invoice #1124),$875.00,$30345.79
2/11/2025,Customer Invoice Payment,Payment #1205 for Pure Site Contractors of Florida LLC (Invoice #1109),$1260.00,$31605.79
2/11/2025,Customer Invoice Payment,Payment for Grovin Construction (Invoice #1144),$780.00,$32385.79
2/11/2025,Imported Transaction,INTERNET TRANSFER FROM CHK 7131 TO CHK 7073 7260896,-$2000.00,$30385.79
2/11/2025,Journal Entry,Transfer money 7131 to 7073,-$2000.00,$28385.79
2/11/2025,Void Imported Transaction,INTERNET TRANSFER FROM CHK 7131 TO CHK 7073 7260896,$2000.00,$30385.79
2/12/2025,Imported Transaction,Legends Bank - Personal KWEST GROUP LLC AP CHK RUN,$3780.00,$34165.79
2/13/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$20.00,$34145.79
2/13/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$40.00,$34105.79
2/13/2025,Imported Transaction,Legends Bank - Personal SUPERIOR ROW SER ACH PAYMEN,$7140.00,$41245.79
2/13/2025,Customer Invoice Payment,Payment #010412 for Contractors Design Engineering (Invoice #1091),$1250.00,$42495.79
2/13/2025,Customer Invoice Payment,Payment #005851 for Tampa Contracting Services (Invoice #1092),$3750.00,$46245.79
2/13/2025,Customer Invoice Payment,Payment #34336 for JWB Contractors (Invoice #1093),$600.00,$46845.79
2/13/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX803 4794757,-$2500.00,$44345.79
2/13/2025,Imported Transaction,Legends Bank - Personal AMEX EPAYMENT ACH PMT,-$8462.93,$35882.86
2/13/2025,Imported Transaction,Legends Bank - Personal INTUIT 83083850 BILL_PAY,-$775.00,$35107.86
2/13/2025,Imported Transaction,Legends Bank - Personal INTUIT 87412300 BILL_PAY,-$700.00,$34407.86
2/13/2025,Imported Transaction,Legends Bank - Personal INTUIT 84916890 BILL_PAY,-$700.00,$33707.86
2/14/2025,Imported Transaction,Legends Bank - Personal Best Buy,-$220.00,$33487.86
2/14/2025,Imported Transaction,MOBILE TRANSFER FROM CHK 7131 TO CHK 7073 1055061,-$2000.00,$31487.86
2/14/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 7073 1055061,-$2000.00,$29487.86
2/14/2025,Void Imported Transaction,MOBILE TRANSFER FROM CHK 7131 TO CHK 7073 1055061,$2000.00,$31487.86
2/14/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$682.24,$30805.62
2/14/2025,Journal Entry,Reversal of Voided Mobile Transfer,-$2000.00,$28805.62
2/18/2025,Imported Transaction,Legends Bank - Personal BEI JING HAI WEN HU ZHI WANG LUO JI IAT PAYPAL WEB000000000000048000 AB CIVIL CONSULTING LLC,-$480.00,$28325.62
2/18/2025,Imported Transaction,Legends Bank - Personal STEFFANIE QUIBETE IAT PAYPAL WEB000000000000006050 AB CIVIL CONSULTING LLC,-$60.50,$28265.12
2/18/2025,Imported Transaction,Legends Bank - Personal SBA EIDL LOAN PAYMENT 3015519102,-$356.00,$27909.12
2/18/2025,Imported Transaction,Legends Bank - Personal CarMax,-$1050.82,$26858.30
2/19/2025,Imported Transaction,Legends Bank - Personal INTUIT 76381983 TRAN FEE,-$9.80,$26848.50
2/19/2025,Imported Transaction,Legends Bank - Personal PATRIOT SOFTWARE PAYROLL,-$10280.34,$16568.16
2/19/2025,Journal Entry,QuickBooks Stop Payment,$980.00,$17548.16
2/20/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK 7131 TO CHK 2803 7984588,-$3000.00,$14548.16
2/21/2025,Imported Transaction,Legends Bank - Personal THOMPSON MACHINE BT0220,-$2255.36,$12292.80
2/21/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1058),$450.00,$12742.80
2/24/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$2845.56,$9897.24
2/24/2025,Journal Entry,QuickBooks Bill Pay,-$980.00,$8917.24
2/24/2025,Imported Transaction,Legends Bank - Personal INTUIT PYMT SOLN INTUITPMTS,-$10.00,$8907.24
2/25/2025,Customer Invoice Payment,Payment #13646 for Terry Roberts Site Work (Invoice #1088),$1580.00,$10487.24
2/25/2025,Customer Invoice Payment,Payment #171003 for H.O. Weaver and Sons inc. (Invoice #1094),$1990.00,$12477.24
2/25/2025,Void Customer Invoice Payment,Payment #171003 for H.O. Weaver and Sons inc. (Invoice #1094),-$1990.00,$10487.24
2/25/2025,Customer Invoice Payment,Payment for H.O. Weaver and Sons inc. (Invoice #1089),$1990.00,$12477.24
2/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$209.54,$12267.70
2/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$114.38,$12153.32
2/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$172.94,$11980.38
2/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$172.94,$11807.44
2/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$102.94,$11704.50
2/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$183.00,$11521.50
2/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$328.49,$11193.01
2/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$227.84,$10965.17
2/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$181.17,$10784.00
2/26/2025,Customer Invoice Payment,Payment for Kwest Group (Invoice #1090),$1375.00,$12159.00
2/27/2025,Imported Transaction,Legends Bank - Personal STEFFANIE QUIBETE IAT PAYPAL WEB000000000000009800 AB CIVIL CONSULTING LLC,-$98.00,$12061.00
2/27/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK 7131 TO CHK 7544 6060664,-$3000.00,$9061.00
2/27/2025,Journal Entry,Payment in 7131 that was for 7544,$1500.00,$10561.00
2/27/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$346.51,$10214.49
2/27/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$267.51,$9946.98
2/28/2025,Customer Invoice Payment,Payment for AJ Oleson Construction (Invoice #1060),$1000.00,$10946.98
2/28/2025,Imported Customer Payment,Legends Bank - Personal KWEST GROUP LLC AP CHK RUN: Imported Payment from Kwest Group,$450.00,$11396.98
2/28/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1059),$2760.00,$14156.98
2/28/2025,Void Imported Customer Payment,Legends Bank - Personal KWEST GROUP LLC AP CHK RUN: Imported Payment from Kwest Group,-$450.00,$13706.98
2/28/2025,Customer Invoice Payment,Payment for Kwest Group (Invoice #1087),$450.00,$14156.98
2/28/2025,Journal Entry,Stripe Fees,-$5.00,$14151.98
2/28/2025,Imported Transaction,Legends Bank - Personal CIGNA 877-484-59 8774845967,-$1081.83,$13070.15
2/28/2025,Customer Invoice Payment,Payment #4290 for Central Florida Site Pros Inc (Invoice #1035),$1450.00,$14520.15
